Year,City,latitude,longitude
1896,athens,37.98381,23.72754
1900,paris,48.85661,2.35222
1904,st. louis,38.62727,-90.19789
1908,london,51.50722,-0.12764
1912,stockholm,59.32932,18.06858
1920,antwerpen,51.21904,4.40441
1924,paris,48.85661,2.35222
1928,amsterdam,52.37403,4.88969
1932,los angeles,34.05223,-118.24368
1936,berlin,52.52001,13.40495
1948,london,51.50722,-0.12764
1952,helsinki,60.16952,24.93545
1956,stockholm,59.32932,18.06858
1956,melbourne,-37.81399,144.96332
1960,rome,41.90278,12.49637
1964,tokyo,35.6895,139.69171
1968,mexico city,19.4326,-99.1332
1972,munich,48.13743,11.57549
1976,montreal,45.50884,-73.58781
1980,moscow,55.75583,37.61778
1984,los angeles,34.05223,-118.24368
1988,seoul,37.566,126.9784
1992,barcelona,41.38879,2.15899
1996,atlanta,33.749,-84.38798
2000,sydney,-33.86882,151.2093
2004,athens,37.98381,23.72754
2008,beijing,39.9075,116.39723
2012,london,51.50722,-0.12764
2016,rio de janeiro,51.50722,-0.12764
